Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2023,23045
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2022,23266
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2021,22563
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2020,21565
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2019,22038
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2018,21689
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2017,20447
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2016,20096
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2015,20360
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2014,19385
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2013,19378
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2012,19797
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2011,19576
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2010,19097
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2009,19557
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2008,19476
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2007,19650
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2006,19351
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2005,19624
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2004,19357
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2003,19576
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2002,18947
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2001,18407
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,2000,18419
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1999,18972
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1998,18922
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1997,18476
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1996,18861
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1995,18352
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1994,18392
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1993,18388
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1992,18452
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1991,18843
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1990,18854
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1989,18652
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1988,18372
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1987,18301
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1986,18033
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1985,17971
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1984,17526
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1983,17292
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1982,17194
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1981,17109
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Todas las edades,1980,17405
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2023,7
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2022,8
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2021,9
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2020,7
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2019,4
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2018,3
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2017,11
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2016,8
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2015,7
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2014,3
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2013,3
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,Menos de 1 año,2012,8
