index;Sexo;Comunidades y Ciudades Autónomas;Periodo;Edad;Total
0;Hombres;01 Andalucía;1980;95 y más años;0.0
1;Hombres;01 Andalucía;1980;De 1 a 14 años;894503.0
2;Hombres;01 Andalucía;1980;De 15 a 29 años;786499.0
3;Hombres;01 Andalucía;1980;De 30 a 39 años;365959.0
4;Hombres;01 Andalucía;1980;De 40 a 44 años;168446.0
5;Hombres;01 Andalucía;1980;De 45 a 49 años;190076.0
6;Hombres;01 Andalucía;1980;De 50 a 54 años;175173.0
7;Hombres;01 Andalucía;1980;De 55 a 59 años;153871.0
8;Hombres;01 Andalucía;1980;De 60 a 64 años;111294.0
9;Hombres;01 Andalucía;1980;De 65 a 69 años;98329.0
10;Hombres;01 Andalucía;1980;De 70 a 74 años;78618.0
11;Hombres;01 Andalucía;1980;De 75 a 79 años;51211.0
12;Hombres;01 Andalucía;1980;De 80 a 84 años;22492.0
13;Hombres;01 Andalucía;1980;De 85 a 89 años;11126.0
14;Hombres;01 Andalucía;1980;De 90 a 94 años;0.0
15;Hombres;01 Andalucía;1980;Menos de 1 año;59346.0
16;Hombres;01 Andalucía;1980;Todas las edades;3166945.0
17;Hombres;01 Andalucía;1981;95 y más años;0.0
18;Hombres;01 Andalucía;1981;De 1 a 14 años;885967.0
19;Hombres;01 Andalucía;1981;De 15 a 29 años;811822.0
20;Hombres;01 Andalucía;1981;De 30 a 39 años;374446.0
21;Hombres;01 Andalucía;1981;De 40 a 44 años;160607.0
22;Hombres;01 Andalucía;1981;De 45 a 49 años;188333.0
23;Hombres;01 Andalucía;1981;De 50 a 54 años;179291.0
24;Hombres;01 Andalucía;1981;De 55 a 59 años;156967.0
25;Hombres;01 Andalucía;1981;De 60 a 64 años;118246.0
26;Hombres;01 Andalucía;1981;De 65 a 69 años;96778.0
27;Hombres;01 Andalucía;1981;De 70 a 74 años;80671.0
28;Hombres;01 Andalucía;1981;De 75 a 79 años;51712.0
29;Hombres;01 Andalucía;1981;De 80 a 84 años;23938.0
30;Hombres;01 Andalucía;1981;De 85 a 89 años;11477.0
31;Hombres;01 Andalucía;1981;De 90 a 94 años;0.0
32;Hombres;01 Andalucía;1981;Menos de 1 año;58953.0
33;Hombres;01 Andalucía;1981;Todas las edades;3199208.0
34;Hombres;01 Andalucía;1982;95 y más años;0.0
35;Hombres;01 Andalucía;1982;De 1 a 14 años;879225.0
36;Hombres;01 Andalucía;1982;De 15 a 29 años;833439.0
37;Hombres;01 Andalucía;1982;De 30 a 39 años;384261.0
38;Hombres;01 Andalucía;1982;De 40 a 44 años;158837.0
39;Hombres;01 Andalucía;1982;De 45 a 49 años;182887.0
40;Hombres;01 Andalucía;1982;De 50 a 54 años;184359.0
41;Hombres;01 Andalucía;1982;De 55 a 59 años;158754.0
42;Hombres;01 Andalucía;1982;De 60 a 64 años;125884.0
43;Hombres;01 Andalucía;1982;De 65 a 69 años;95913.0
44;Hombres;01 Andalucía;1982;De 70 a 74 años;81064.0
